Company,JobDescription,PreferredSkills
Google,"Software Engineer , Android Applications You will develop applications primarily in Java and using the Android Software Development Kit (SDK). You might design and develop open-source Android applications that are part of the Android Open Source Project (AOSP) or closed-source Google applications that are the interface to Google services on Android.
","Android, Mobile App development, Kotlin"
Google,"Software Engineer, Machine Learning","Java, C, C++, Python, Machine Learning, Natural Language Processing"
Google,"Software Engineering Intern Join us for a unique 12-14 week paid internship that offers personal and professional development, an executive speaker series, and community-building. This program will give you an opportunity to work on complex computer science solutions, to develop scalable, distributed software systems, and also to collaborate on multitudes of smaller projects that have universal appeal - which requires research, awareness, interactivity, and the ability to ask the right questions.","Programming, C, C++, C#, Java, JavaScript, Go, Python, Web App development"
Google,"Software Engineer, Database Systems  As a Software Engineer working on database systems, you will work on projects such as developing distributed database architecture, performance optimization, data warehousing, data integration, query optimization and indexing.","C, C++, Go, Python, Java, Algorithms, MySQL"
Microsoft,"DCS Software Engineer 2, We are looking for Software Engineers that are ready to take on a new challenge and has experience building features and capabilities for online services. You will work on components of customer’s online support experience built upon machine learning and artificial intelligence on large-scale platforms. ","Data Structures, Algorithms, Programming, Problem Solving, Python, Ruby on Rails"
Microsoft,"Data and Applied Scientist 2 We need candidates who have successfully shipped machine learning based solutions, and have 6+ years of relevant academic or research experience. This is a rare opportunity to influence technology development in an important growth area at Microsoft. You will design, implement, analyze and tune complex algorithms and ML models operating on large datasets in collaboration with top scientists and engineers across Microsoft’s global R&D team.","Algorithms, Mathematics, Machine Learning, C, C++, Python, Hadoop"
Microsoft,Support Engineer The person in this position will work in a team environment to support Microsoft BAP solutions. The role of a Support Engineer focuses on delivering high quality technical support to customers.,"Logic, Programming, Communication Skills, AWS"
Amazon,"Software Development Engineer As an SDE working in the Advertising team, you will not only be responsible for creative input into algorithms that maximize our revenue from Advertising, but you will also develop them in an Object Oriented and scalable way. The software that you design and develop will provide the highly reliable, low cost marketing solutions to Amazon.com, and other advertisers. You will be dealing with high transaction systems and web services supporting thousands of transactions per second.
","Linux, OOP,C++, Perl, SQL, Data Structures, Algorithms"
Amazon,Business Analyst Affiliate Risk Ops Affilate Risk Business Analyst will perform Investigations on the account which requires indepth analysis and as well work on creating meaningful analytical reports that could be daily/weekly/monthly/Adhoc. The individual is expected to play a dual role by regularly investigating accounts and also ensuring that the required Business reports are circulated as per cadence.,"Sql, AWS, Excel, UNIX, Linux"
Amazon,"System Development Engineer Amazon Go is a new kind of store with no lines and no checkout—you just grab and go! Customers use the Amazon Go app to enter the store, take what they want from our selection of fresh, delicious meals and grocery essentials, and go! Check it out at amazon.com/go","Networking, AWS, Linux, Unix"
Amazon,,
